"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
5.0136,1.9828,3.5872,2.1344,-0.4141,-0.0905,-2.2814,1.0888,-1.352,-0.6397,2.3359,0.6303,-2.3237,-4.4179,-5.1484,-4.9512,-3.864,6.8636,-3.1983,-3.1524,-1.6336,-0.5297,-0.9194,3.3587,-2.158,-4.6847,-1.7469,-4.3827,2.5515,-3.7089,6.0451,-0.6948,3.8305,-1.7573,-9.4266,2.0882,4.2975,2.4883,-0.9192,2.5174,-3.6342,-2.0776,9.925,1.3071,-6.6885,-3.05,-0.0369,3.6884,6.2255,-1.1259
1.9225,-3.0893,3.1715,-1.1033,-0.534,-0.8013,0.2398,2.9744,-3.7602,-0.4966,1.2031,3.2295,0.0447,-6.9438,-4.1349,-2.5323,-5.9319,10.7188,1.0714,-4.5991,-4.4863,-0.4109,-4.1307,1.3705,-0.4163,-0.7224,-5.2689,-1.0939,-1.1981,-3.3663,2.0682,-3.3718,7.3809,-5.4747,-10.7037,-1.4576,4.1841,-1.5323,-0.6366,0.5382,-1.7712,-8.3241,9.6991,-7.6957,-5.0551,-4.6342,2.634,6.5739,3.4985,4.0043
2.9948,5.0658,5.2341,-4.4603,-2.8801,6.8983,3.9229,1.7085,3.3213,-1.1138,-3.0785,0.1405,3.1729,-4.6174,-1.7237,2.0368,-2.3495,-3.6314,1.5505,-0.1525,-5.1639,-1.1588,-3.7381,-0.9248,2.4824,-2.2733,-0.25,-0.4487,1.3265,0.1432,1.5275,4.9034,-3.7159,4.3766,-3.49,1.1002,-10.6458,-11.3033,8.0467,-0.7639,2.4991,-0.8574,1.0167,-5.6142,-4.1629,4.1437,5.8698,-7.5821,-4.9591,-6.4509
0.3416,-3.3734,0.1963,0.0048,-4.7071,3.8974,-1.386,2.3225,-5.9646,-1.4392,2.6196,1.1391,0.099,-3.5031,-4.413,-1.2018,-1.2126,11.4362,1.3618,0.3436,-2.4802,-0.9478,0.0844,0.5697,0.1163,-3.2005,-1.4821,-2.0738,-0.0852,-2.8487,5.7301,2.6883,5.8676,-0.8926,-6.3102,1.8083,2.9929,2.9989,-4.6356,0.1949,2.1997,-3.173,5.0761,-0.4512,-5.3554,-5.3063,0.9348,7.2743,4.7573,0.9564
3.3378,0.7622,5.2219,-2.1964,0.0856,0.6381,2.4003,-0.1313,0.8472,-0.8526,-0.8673,0.1257,2.2351,0.1473,0.2249,-1.0086,0.5032,-3.0477,0.4639,2.3057,-5.9665,2.9878,3.6167,-4.3222,-1.9431,1.375,6.0315,-0.6362,0.4797,0.7381,0.6286,6.4407,-6.7839,2.818,0.7247,1.1668,-5.8809,-8.4766,6.0957,1.5884,3.2271,0.3756,2.2343,-5.9189,-0.9099,2.0777,3.9934,-2.3688,-10.8017,-7.1806
2.9159,7.1854,3.7001,-1.8462,-0.5189,5.8902,2.4786,-1.2832,3.2899,-1.1696,-0.8375,-6.2304,1.7994,2.1721,4.6116,0.7976,-2.3605,-2.0739,1.6519,0.3276,-8.4234,7.8765,-0.6283,-2.4098,1.7125,-3.2709,4.5146,-1.7937,1.1517,3.0296,0.7355,7.6653,-5.2106,6.4192,-4.1788,0.1867,-6.9654,-5.6257,7.3223,1.5406,2.8904,4.281,-2.1191,-4.9179,2.5411,0.3113,6.4314,-3.5282,-13.3867,-6.162
2.8311,-1.4615,4.9204,-0.2065,-3.9909,1.6897,-0.6811,1.6579,-2.007,1.2929,1.9873,3.4047,-0.0844,-6.6754,-5.6056,-1.891,-6.853,6.9295,-0.8888,-3.4854,-6.1496,-3.4391,1.0833,-0.9621,-3.7033,1.2655,-2.4239,-1.2195,5.7423,-2.357,4.7571,0.803,6.6127,-0.4566,-8.2441,-1.0183,3.3692,0.2345,1.2476,-0.2226,1.5764,-2.667,6.9778,0.0845,-5.0589,-2.4809,6.2516,1.685,4.7703,-3.087
2.6853,-2.1957,6.2719,0.2288,-3.9405,6.0363,0.1961,1.2053,-3.3435,-0.8985,0.0883,0.9328,-0.0238,-3.6207,-5.8345,1.1673,-4.4496,5.8848,-1.1777,-1.7756,-5.8291,-3.7152,-1.029,-0.4725,-4.4401,-1.5734,-1.3751,-1.4022,1.9738,-2.0955,4.8957,-3.26,5.2323,-1.0429,-8.7146,-2.6269,2.5387,-0.6267,-0.8544,0.3239,3.2558,-4.7696,8.4549,-3.7781,-7.5743,-3.5467,5.9659,8.6054,5.0017,-4.3795
1.9131,-1.6319,-6.9435,6.9223,3.8179,-2.1048,1.0332,3.9088,2.1506,1.7826,5.9722,1.5721,-5.3652,-8.9801,3.4151,2.2439,-0.3878,6.3804,-1.531,1.6593,-0.2697,3.2476,-1.6273,-8.8302,2.7882,-3.6579,0.0716,-5.7839,-4.4687,2.9039,3.9436,-0.8441,2.9106,1.1886,-4.5645,-1.0688,-1.3328,0.802,4.7535,5.6563,1.8315,0.1542,-2.2965,4.7752,-2.9058,-2.3554,-1.3286,0.9063,2.7055,2.9088
4.3836,-4.9345,1.2062,-1.4599,-5.7468,-0.0976,-3.0708,1.7563,-6.5038,-0.3052,0.522,4.9599,-1.8331,-4.8093,-6.2627,-1.7427,-1.6294,10.1745,-2.6662,0.7991,0.5967,-0.741,-0.8126,-0.2682,-2.0718,-5.7532,-2.8812,-2.9417,4.1401,-1.3741,7.7253,2.1519,4.336,-4.1843,-7.4877,-2.5632,4.9513,1.0758,0.8026,-0.4566,1.3069,-3.2145,6.0583,2.357,-3.9501,-5.1308,1.5249,5.5837,4.5211,1.9413
-3.3147,2.493,-4.3108,6.6407,2.255,-3.9769,2.4654,3.3063,3.7051,-0.3498,3.6387,5.331,-4.0271,-10.0839,6.6964,-1.6206,-1.1627,5.2603,5.2905,2.8928,5.5809,1.35,1.7071,-7.8688,-1.5559,2.8427,2.8368,-6.499,-0.5503,-1.8342,6.5739,-0.8409,-1.6103,-1.593,-8.0386,-3.7856,0.1094,-1.7311,3.165,1.6516,0.0862,-0.4957,5.4298,3.0598,-4.2159,-2.4215,0.4145,6.8333,-1.6752,6.166
-0.3181,1.7552,1.6944,4.4958,-2.7251,0.2144,-0.0374,3.7971,-2.6154,-3.2303,0.2555,1.7307,3.4408,-6.4268,-1.7832,-3.4178,-2.9485,10.4647,0.3122,-4.5524,1.7445,1.1569,2.3459,-2.5211,-1.3942,-2.4148,-2.9745,-5.9169,2.1179,-1.0761,3.8085,-0.4474,7.1185,-5.8191,-12.8516,0.9171,6.1377,0.4585,-3.6194,2.0335,1.9592,-5.0367,6.2369,-1.9219,-8.7673,-3.1108,3.6402,7.8087,12.1314,0.8435
3.6184,-0.2928,2.9379,4.2107,-0.1681,2.4032,1.2208,3.638,-1.4042,2.1518,1.7602,0.1668,-0.1509,-2.5359,-1.5895,-1.8189,-3.4608,6.0179,2.3505,-3.065,-2.1754,-2.6454,1.0825,0.551,1.0003,-3.3053,-0.4776,-5.6771,3.0718,-1.4199,3.8298,-5.6896,1.4656,-4.4756,-11.6483,-1.2482,4.85,-0.1126,0.2473,2.6192,4.7631,-5.376,11.939,0.7645,-7.486,-8.94,1.026,5.2798,2.6617,-1.2424
1.6851,4.0494,-3.176,-0.7476,6.6121,-3.4142,5.0258,0.8925,1.2647,-0.1046,8.1897,1.0226,-5.4677,-7.4225,4.5897,-4.8506,0.1828,2.882,5.8601,2.7172,-1.4382,4.5132,1.0584,-10.5762,-2.6354,-0.024,-1.1628,-2.9857,0.1747,2.3981,9.8745,0.8607,6.233,2.0762,-4.3981,-3.1124,-1.6786,-1.7385,4.9907,1.9888,3.1926,-0.3799,2.9338,5.3097,-6.6927,0.0621,0.9753,-0.2506,3.2604,5.4646
1.8333,4.9826,6.6837,-3.748,-2.2504,4.7916,3.9846,-1.7625,-0.1866,-6.2578,-4.287,-4.7436,1.4511,-1.6589,-0.255,2.9496,-0.8574,-0.4427,1.6233,-0.1414,-7.7962,0.7694,-0.3345,-1.5132,3.3436,-2.5624,3.8393,-4.5928,1.0171,2.31,3.3776,6.6454,-4.1262,3.0166,-1.9172,2.6466,-10.1713,-7.391,6.3692,0.6716,2.5464,0.6099,1.6018,-4.6055,-1.441,0.7348,4.3806,-6.4913,-6.011,-4.2166
1.689,1.4018,4.953,-2.0161,-0.1036,5.9005,0.9129,-3.1268,2.5145,-5.0006,-3.1616,-2.3053,5.4628,-4.7501,5.4887,0.1733,-1.2029,2.4232,2.4532,-1.5624,-10.2371,5.014,1.3382,-4.479,3.2939,1.8036,5.1636,-0.6888,2.6146,2.1553,-0.4075,4.1905,-2.6104,4.4886,2.8446,4.0269,-6.0748,-7.8672,5.9222,3.3153,3.1917,2.5516,1.6339,-5.5605,-2.9649,2.2416,4.1165,-4.4453,-6.9478,-3.7741
4.4796,11.4003,5.769,-2.7936,-3.5869,2.3946,5.4315,-2.3657,5.929,1.1335,-6.9584,0.0723,3.8095,2.9361,1.0842,2.7157,2.1958,-3.9834,-0.9247,1.0569,-4.5475,-0.3958,-5.2972,-0.2983,-1.8708,-3.8601,3.8458,-4.0851,-0.2995,-0.0807,1.2815,8.5857,-3.6962,6.0305,0.859,-0.223,-11.5475,-4.7495,3.7881,3.3324,-3.5405,3.9088,0.6379,-5.5893,0.3398,2.4846,1.3816,-4.7801,-11.0273,-7.6993
1.5828,6.3774,7.329,-1.7747,-1.9636,3.5553,1.3789,-0.1036,4.2089,-4.7616,-4.2719,1.1836,4.2283,1.0275,1.4701,1.2164,-0.1641,-4.2831,-0.37,-0.8239,-6.1903,1.204,-3.1282,-5.731,2.2424,-0.4433,4.6637,1.3146,4.2737,0.8945,-0.2566,4.152,-3.8333,6.7659,0.8184,-1.9555,-11.6446,-6.3977,8.0568,0.4748,-0.7143,3.6874,3.9334,-7.5075,0.4411,2.5493,4.2507,-3.8342,-9.5607,-6.1453
4.7144,4.3151,1.7407,-5.9576,1.9905,2.4698,4.1205,-0.6736,1.9046,-1.6685,-2.9805,4.4816,3.1669,-3.7706,1.5792,4.3052,0.2819,-1.3536,-2.7201,2.7532,-8.753,2.6111,1.145,-1.0712,1.05,-3.774,3.0142,-1.7977,-2.654,0.358,-1.0545,10.8235,-4.4901,2.2502,-3.4571,-1.8937,-6.0957,-6.8222,7.4161,3.3393,0.0339,2.4474,1.7528,-5.119,-2.9183,-1.7847,8.9586,-6.4403,-8.4226,-3.2999
1.0752,7.0934,3.4532,-2.9382,-0.7393,1.2906,1.3222,-3.9218,4.1455,-3.3287,2.2554,-2.468,0.7934,1.9455,1.0164,-0.3935,0.183,1.4985,-2.431,-5.1598,-9.0883,5.5752,-0.2499,-4.7584,-0.3046,-2.3445,2.26,-3.8589,0.2885,0.0147,-1.6247,6.0334,-3.8089,2.2132,1.1265,-1.0266,-5.1463,-8.8047,6.8403,0.4381,2.6609,0.9735,1.0825,-9.011,-1.5647,2.0968,6.5962,-6.9628,-12.3051,-5.5822
2.2321,9.0605,5.6304,-6.0985,-1.647,7.0925,5.0001,1.3999,2.8102,-1.1566,-2.6716,0.2263,3.4805,1.8268,1.3837,-2.9767,0.6239,-2.1965,0.4926,3.2105,-6.1521,1.9089,0.2896,-0.5577,-2.5034,-4.5487,5.1832,-0.2403,1.3051,0.9168,1.8966,6.7114,-5.2087,5.8731,-1.253,-0.8555,-5.6322,-10.6301,9.5824,1.503,5.1767,1.3928,4.3222,-4.8008,-1.814,3.374,3.9285,-7.8726,-8.4006,-5.9732
3.1153,1.9831,2.875,2.9034,-2.8787,-0.3937,-2.2479,-0.988,-3.9975,-1.6932,-2.4462,1.8506,2.4341,-2.2174,-4.3306,-2.1759,-6.4718,12.8537,0.9429,1.8415,-0.7764,0.7077,0.911,0.7335,-4.3196,-2.8935,-1.7304,-6.934,3.7544,-4.5286,4.8677,0.9842,5.8692,-1.7296,-9.6436,-0.3589,6.7769,-0.067,-0.7216,-0.527,-1.6738,-2.3815,6.5826,3.4572,-4.2484,-5.7486,1.944,5.2742,5.3842,-1.5614
-2.8987,-0.9974,-1.0874,5.4,-0.4336,-4.4133,3.5732,1.957,2.3339,-0.1651,8.421,2.4756,-3.9845,-11.9777,1.7524,3.3697,-0.8514,5.1807,4.1569,4.1613,4.7184,2.1862,-2.2183,-6.6838,2.8689,0.3774,0.3942,-4.7245,-3.2484,2.1861,6.6203,2.8566,3.0096,4.6527,-2.5483,-1.8262,-0.5794,-1.2861,4.167,6.2275,2.974,-3.1821,4.9375,2.5607,-0.7737,-1.9949,2.5764,1.1489,-2.1234,5.4494
-1.1582,-0.4379,1.1061,1.3068,-2.9743,3.229,-2.1652,2.9413,-4.2417,0.2002,0.6845,3.3905,2.2189,-0.873,-5.6212,-1.9779,-6.537,8.0904,1.6134,-1.6418,2.1814,-1.5873,-0.9668,0.2997,-4.0568,-1.6534,-4.2882,-2.6188,1.2826,1.9246,5.4016,-0.0786,1.9842,-3.0762,-9.0797,1.9254,3.1015,0.8347,-2.3971,2.0172,2.56,-6.5166,7.8688,-0.1806,-7.0914,-5.1,2.6969,2.7859,3.1894,-2.0857
2.1916,0.3198,2.6893,2.5889,-4.2425,1.2338,0.5753,4.4605,-3.7859,-0.2236,-0.5693,1.9565,-0.6278,-5.4991,-3.3011,-2.3285,-6.6058,6.7229,1.4199,-0.178,-3.0369,0.4601,0.2095,-2.8994,-1.3241,-1.9692,0.5823,-4.7842,3.8125,-1.7428,3.2102,0.4909,5.3816,-2.4735,-11.5371,-3.3021,5.9419,-0.4429,-3.2639,1.6076,1.2899,-2.0956,8.185,-0.0846,-5.8903,-6.4808,1.9748,4.7298,6.323,0.6227
2.0613,-2.5887,6.5955,3.0365,-0.8698,2.6236,-1.7986,2.69,-3.7715,-0.422,-0.6792,0.6229,0.0109,-5.9459,-4.4191,-1.1823,-8.2306,10.2459,-2.2069,0.0582,-4.6959,-0.9845,-3.3569,1.3203,-2.8723,-0.7539,-5.4734,-4.1254,4.413,-1.9939,4.6565,1.067,4.7391,-5.2741,-6.9285,0.2519,6.3032,0.7821,-0.811,-2.6906,-0.091,-3.8831,6.421,-1.7897,-5.1591,-4.402,4.4286,7.6889,4.1149,-0.6527
-0.0571,-3.9162,-0.3972,1.6109,-3.3675,2.2382,-0.9405,-0.1557,-6.2447,-0.596,0.6702,3.3564,1.1014,-2.0628,-5.2556,-4.2138,-3.6797,11.3228,-0.325,-2.223,0.6004,-2.0985,-1.0866,-0.9142,-3.7048,-2.9325,-1.7233,-10.7711,2.1294,-1.9104,5.1184,2.1148,3.7576,1.0667,-7.6644,0.6273,6.8862,-1.4569,-2.0163,-0.3034,-1.1917,-5.2546,5.794,0.0201,-7.2612,-1.8574,3.0335,6.7498,2.0776,1.0008
0.5356,1.8774,-5.8585,10.9533,4.1143,0.1112,0.2957,5.2045,4.4828,-2.4328,5.5449,1.3192,-1.4549,-8.1256,6.1687,1.1718,1.98,3.4871,2.1011,2.0832,3.3551,4.2037,1.065,-8.476,0.6648,1.6563,-0.2409,-3.5064,-4.4593,1.8398,3.5424,-1.001,6.129,-0.4602,-5.8862,-2.2969,-0.4506,-0.729,4.0812,6.6498,2.7251,-4.0291,7.2758,1.571,-1.5003,-2.0976,1.0807,7.3143,2.1623,6.1004
4.5034,5.5163,6.3905,-4.7521,2.2058,4.8138,2.2022,2.2187,2.3863,-4.2216,-6.8169,-6.579,4.8562,-0.2703,4.082,-0.4213,1.0869,-2.488,3.9679,-2.6246,-6.8374,-0.0318,2.7997,-1.6998,2.0007,-3.2088,4.7671,-7.0441,1.8858,3.8831,2.9647,1.4325,-6.208,4.7643,-1.2154,4.7917,-6.6879,-4.6228,3.6148,-1.825,1.0103,1.7248,2.1975,-4.6498,-0.9063,0.1612,7.3478,-5.3211,-8.7624,-7.7894
1.8888,3.7051,4.6524,-2.7906,-2.9641,2.082,4.846,-2.0665,3.6114,-1.6913,0.4646,1.2996,4.3372,-7.7231,2.2826,-1.9774,1.0283,-2.0816,-1.2751,-2.5818,-3.8379,4.8717,0.1061,-1.8976,-0.7207,-3.3704,2.6133,-5.7826,2.0791,0.7636,-2.3827,6.0704,-1.1727,3.1599,2.4435,2.158,-9.2627,-5.4985,6.9938,0.4326,3.5811,1.2281,-0.8349,-4.9931,-3.3805,-1.7818,9.2377,-7.3216,-11.667,-8.6613
-4.448,2.2902,0.0524,6.9887,-2.7145,-2.3952,0.6879,7.7281,5.2769,0.038,3.595,4.3694,-2.2622,-10.4312,5.9914,1.5063,-2.5413,0.279,2.4557,3.9559,3.7755,3.5353,-2.7316,-7.3982,2.7616,2.1221,-0.3746,-4.8142,-4.1888,2.4269,6.7854,0.3813,0.5139,0.1323,-7.9393,-3.466,2.2988,2.1991,6.2076,2.2899,1.8597,3.9606,-1.4955,-2.2714,-0.1179,-4.9217,1.9759,5.5556,-0.3842,4.5593
2.0226,4.7746,5.5784,-1.4969,-2.5046,6.93,1.4829,1.5749,1.6005,-4.1528,-2.8306,-3.1736,3.8523,-1.6215,4.1057,2.9957,1.599,-1.6271,2.7079,-1.7464,-3.5003,1.2332,-2.3479,-4.4881,-1.5396,-3.4909,8.9537,-0.5023,3.8732,1.2401,1.7462,4.6158,-3.2873,5.5177,-1.3237,1.2913,-5.6683,-9.9824,5.8602,1.2374,2.6788,-0.2415,4.0612,-6.6079,-2.2128,4.3838,4.7867,-6.9156,-10.9271,-2.9513
1.0207,0.4059,4.3313,1.8629,0.2568,1.1116,3.2628,2.8723,-2.028,-0.8019,0.6329,3.5719,0.8602,-0.4295,-1.8233,-3.9423,-5.1091,6.4068,1.3835,-2.4379,0.062,3.5358,-2.2416,-2.9071,-1.1782,-4.137,-7.0509,-3.6608,0.9404,0.1357,7.4549,-1.0866,3.939,-6.6451,-10.0727,-0.2766,7.857,0.8746,-2.0014,1.1691,-1.5769,-7.2049,5.6447,-1.1135,-5.31,-1.5231,-0.2612,5.2535,3.4058,2.4049
2.8777,-2.0037,1.729,0.8874,-4.0616,1.1873,-0.7357,2.8622,-5.9432,-0.5912,-1.6531,-0.7745,-2.4547,-2.8826,-5.6668,-4.0697,-6.5615,10.2742,-1.9619,0.6765,-0.199,-0.7485,0.3758,1.0004,-3.5681,2.4005,0.6903,-3.207,2.2102,0.1234,2.9912,-3.2702,4.3242,1.5327,-10.067,-1.9209,5.3815,1.2603,-1.8495,0.1523,1.0451,-0.0896,5.8488,-0.0464,-5.8327,-4.8131,1.5192,4.1684,2.3984,-3.1278
-3.0544,1.9915,-3.0734,5.2002,-0.2077,-4.481,4.2608,1.6729,3.7539,-2.1634,7.2969,2.1138,-2.206,-5.8607,2.94,0.0286,-2.2153,3.3884,2.7787,-0.8234,3.3051,3.5085,0.3466,-7.923,5.1665,-0.5369,-1.0333,-5.3754,-2.6474,1.6174,6.1373,0.587,1.7501,1.1095,-4.59,-2.6145,-1.1172,-2.4682,2.8795,2.5353,-0.0746,0.5908,0.6358,3.9194,-2.0941,-5.674,-0.491,2.5654,0.6346,5.2901
-3.0217,0.1776,0.9249,3.8725,-2.6545,-0.291,-2.0375,2.4965,-7.7871,0.2127,-1.1488,-1.7761,1.4598,-4.9247,-4.2568,-4.4736,-7.1275,4.5864,0.0016,-2.8654,1.4821,-0.4445,0.4921,-1.3036,-3.7039,0.5576,-3.2203,-4.552,1.3237,-0.6258,7.1491,-1.2397,4.3389,-1.7954,-10.2797,-1.4931,4.0697,-0.1977,-2.7839,3.3153,1.1912,-1.3847,7.1669,-1.5025,-7.5842,-6.3461,1.2395,3.3286,1.2904,-0.0588
